Sample 1,,
Time (min),Abs,
0.6791667342,1.277853727,
0.6875000596,1.279084086,
0.695833385,1.279594779,
0.7041667104,1.279352069,
0.7125000358,1.279784679,
0.7208334208,1.279727221,
0.7291667461,1.280238748,
0.7375000715,1.279867053,
0.7458333969,1.279666543,
0.7541667223,1.279267073,
0.7625000477,1.279529333,
0.7708333731,1.280543327,
0.7791667581,1.280134201,
0.7875000834,1.280616522,
0.7958334088,1.278934836,
0.8041667342,1.279432058,
0.8125000596,1.278685808,
0.820833385,1.279699683,
0.8291667104,1.279055476,
0.8375000358,1.279441237,
0.8458334208,1.279285669,
0.8541667461,1.278779864,
0.8625000715,1.280882955,
0.8708333969,1.280556917,
0.8791667223,1.279643416,
0.8875000477,1.280049562,
0.8958333731,1.280174851,
0.9041667581,1.279047132,
0.9125000834,1.279130101,
0.9208334088,1.278828025,
0.9291667342,0.01470757741,
0.9375000596,-0.4065288007,
0.945833385,-0.3992551267,
0.9541667104,-0.4132522047,
0.9625000358,0.5913055539,
0.9708334208,1.244000912,
0.9791667461,1.232918739,
0.9875000715,1.225988388,
0.9958333969,1.222450852,
1.004166722,1.218878031,
1.012500048,1.217050433,
1.020833373,1.212170839,
1.029166698,1.209861636,
1.037500024,1.206725478,
1.045833349,1.203792214,
1.054166675,1.201800108,
1.062500119,1.199023843,
1.070833325,1.196902752,
1.079166651,1.195917368,
1.087499976,1.189804316,
1.095833302,1.187237382,
1.104166627,1.185992956,
1.112499952,1.184576869,
1.120833278,1.182218909,
1.129166722,1.182193995,
1.137500048,1.17607379,
1.145833373,1.171720028,
1.154166698,1.171433806,
1.162500024,1.171893477,
1.170833349,1.171306014,
1.179166675,1.169209957,
1.1875,1.165553093,
1.195833325,1.164244771,
1.204166651,1.161550522,
1.212499976,1.161109328,
1.220833421,1.157945395,
1.229166746,1.160562396,
1.237500072,1.157426834,
1.245833516,1.155436039,
1.254166842,1.152188301,
1.262500167,1.151987433,
1.270833492,1.151013494,
1.279166818,1.152657151,
1.287500143,1.14902854,
1.295833468,1.147098303,
1.304166794,1.145080924,
1.312500119,1.144821167,
1.320833445,1.142598391,
1.32916677,1.142747998,
1.337500095,1.140837431,
1.345833421,1.142044663,
1.354166746,1.138133287,
1.362500072,1.133372784,
1.370833516,1.13515842,
1.379166842,1.137198329,
1.387500167,1.135036111,
1.395833492,1.134306431,
1.404166818,1.131572366,
1.412500143,1.131698966,
1.420833468,1.131145835,
1.429166794,1.130038619,
1.437500119,1.130398273,
1.445833445,1.13042748,
1.45416677,1.128111005,
1.462500095,1.126909733,
1.470833421,1.12727344,
1.479166746,1.126501799,
1.487500072,1.126501799,
1.495833516,1.125420928,
1.504166842,1.124814749,
1.512500167,1.125468969,
1.520833492,1.123603463,
1.529166818,1.120226741,
1.537500143,1.121165633,
1.545833468,1.119852066,
1.554166794,1.119213343,
1.562500119,1.11803472,
1.570833445,1.116315603,
1.57916677,1.118092418,
1.587500095,1.116387725,
1.595833421,1.118419766,
1.604166746,1.11281848,
1.612500072,1.115707159,
1.620833516,1.111482024,
1.629166842,1.111124158,
1.637500167,1.110472918,
1.645833492,1.110641003,
1.654166818,1.114527106,
1.662500143,1.109511495,
1.670833468,1.112736344,
1.679166794,1.1082021,
1.687500119,1.10918653,
1.695833445,1.108250618,
1.70416677,1.10761857,
1.712500095,1.106715083,
1.720833421,1.107855678,
1.729166746,1.105239868,
1.737500072,1.106479883,
1.745833516,1.104368567,
1.754166842,1.105638504,
1.762500167,1.105220795,
1.770833492,1.103257895,
1.779166818,1.104388118,
1.787500143,1.102409601,
1.795833468,1.10398984,
1.804166794,1.102944613,
1.812500119,1.101339221,
1.820833445,1.10218215,
1.82916677,1.097941995,
1.837500095,1.103556871,
1.845833421,1.100479245,
1.854166746,1.102142334,
1.862500072,1.097718239,
1.870833516,1.098136783,
1.879166842,1.098438382,
1.887500167,1.098711014,
1.895833492,1.097116232,
1.904166818,1.098294973,
1.912500143,1.098103642,
1.920833468,1.097826362,
1.929166794,1.095242977,
1.937500119,1.096142411,
1.945833445,1.096063495,
1.95416677,1.095900893,
1.962500095,1.094040036,
1.970833421,1.096373916,
1.979166746,1.09254086,
1.987500072,1.092785001,
1.995833516,1.091049671,
2.004166842,1.094794512,
2.012500048,1.093542099,
2.020833492,1.093196511,
2.029166698,1.095423698,
2.037500143,1.093405962,
2.045833349,1.092820883,
2.054166794,0.2580469549,
2.062500238,-0.3543140888,
2.070833445,-0.3544964194,
2.079166889,0.01654516347,
2.087500095,1.05582726,
2.09583354,1.027980447,
2.104166746,1.024034262,
2.112500191,1.018614054,
2.120833397,1.009956717,
2.129166842,1.003696918,
2.137500048,1.000989437,
2.145833254,1.000674009,
2.154166698,0.9972023368,
2.162499905,0.9943132997,
2.170833349,0.9916712642,
2.179166555,0.9881649613,
2.1875,0.985679388,
2.195833445,0.9848296642,
2.204166651,0.9841328263,
2.212500095,0.9804535508,
2.220833302,0.9776225686,
2.229166746,0.9769912958,
2.237499952,0.9745417833,
2.245833397,0.9736129642,
2.254166603,0.9719752669,
2.262500048,0.9689685702,
2.270833254,0.9685334563,
2.279166698,0.9670631886,
2.287499905,0.9660109878,
2.295833349,0.9643828869,
2.304166555,0.962007165,
2.3125,0.9603565335,
2.320833445,0.9593924284,
2.329166651,0.9575434923,
2.337500095,0.9570254683,
2.345833302,0.9557518363,
2.354166746,0.9546508789,
2.362499952,0.9525010586,
2.370833397,0.9509823918,
2.379166603,0.9515263438,
2.387500048,0.9497684836,
2.395833254,0.9489303827,
2.404166698,0.9469389915,
2.412499905,0.9464043975,
2.420833349,0.9446356297,
2.429166555,0.9441743493,
2.4375,0.9444489479,
2.445833683,0.943349123,
2.454166889,0.9435119629,
2.462500334,0.9410790801,
2.47083354,0.9406126142,
2.479166985,0.9403890371,
2.487500191,0.9398784637,
2.495833635,0.9396709204,
2.504166842,0.9374338388,
2.512500286,0.9362950325,
2.520833492,0.9357955456,
2.529166937,0.935140729,
2.537500143,0.933437109,
2.545833588,0.9335277081,
2.554167032,0.9327071309,
2.562500238,0.9316550493,
2.570833683,0.9318080544,
2.579166889,0.9325421453,
2.587500334,0.9308425784,
2.59583354,0.930888772,
2.604166985,0.9283406734,
2.612500191,0.9290634394,
2.620833635,0.9280958772,
